Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advanced C Programming,"Once you've mastered the basics of programming in C, you can concentrate on writing more efficient, more functional code. In this course, Dan Gookin offers some tips to help you extend your C programming skills. Learn how to read and write main function arguments, build more useful variables, and work with arrays and structures. Plus, get tips on generating pointers, and take the practice challenges to test your learning along the way.",Course,2017-08-02 18:08 UTC,N/A,false,N/A,
Excel 2019: Formação Básica,"Esse curso possui uma abordagem focada nas principais ferramentas do Excel na sua versão 2019 e na produtividade de profissionais por meio de execuções, atalhos e facilidades que são ensinadas ao longo das aulas. São desenvolvidas planilhas, análises e execuções em casos semelhantes ao dia a dia de profissionais.",Course,2019-08-02 12:51 UTC,N/A,false,N/A,
JavaBeans Essential Training,"Although small-scale Java EE applications can be built without JavaBeans, in the large-scale Java EE world they're needed to separate business logic from presentation. Learn how to build your own JavaBeans and get developer tips for developing enterprise-level applications that are scalable, cross-compatible, and less demanding of server resources. In this course Patrick Royal covers the core concepts behind JavaBeans and explores the syntax, commands, and tools you need to know. He shows how to create session and entity objects, build server-side code, design objects to take advantage of parallel processing, and improve your code with optimization techniques and extensions. He also issues several JavaBeans programming challenges that allow you to test your knowledge along the way.",Course,2017-09-05 16:12 UTC,N/A,false,N/A,
Cloth Simulation: 3ds Max,"The Cloth system in 3ds Max allows you to create realistic garments and fabrics, from T-shirts to tablecloths. This course, from author Joel Bradley, provides a deep dive into cloth simulation in 3ds Max, giving you the information you need to tackle your own project. Joel examines the effect of scale on cloth behavior, the impact different mesh subdivision types can make on your model, and the function and options behind the Cloth modifier, the heart of the Cloth system. He also shows how to set up and control behaviors like bend and curve, U and V Stretch, Density, Thickness, and Friction. Plus, discover how to work with groups and constraints and create effects like wet cloth and tearable cloth.<br><br>

This course was created and produced by Joel Bradley. We are honored to host this content in our library.",Course,2017-09-11 09:52 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:97148,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:97148,Course,2018-10-12 03:13 UTC,N/A,false,N/A,
Async Programming in C#,"Discover how to improve the scalability and performance of your applications using asynchronous programming in C#. In this course, join Anton Delsink as he explores different options for parallelizing your code, and shows how asynchronous programming is done with C#. Anton covers key concepts, including unit tests, delegates, lambdas, and anonymous methods. He also covers multithreading, async keywords, tasks, and more.",Course,2018-08-27 08:45 UTC,N/A,false,N/A,
IoT Development with Windows 10 IoT Core 1: Installation and Basic Connection,"With Windows 10 IoT Core, Microsoft brings together Windows and the Internet of Things (IoT). This version of Windows 10 is optimized for smaller devices, runs on the Raspberry Pi 2 and 3, and allows you to incorporate the power of Windows into nearly any kind of device you can dream up—from smart watches to car data connectors. This course is the first in a series of two courses by Michael Lehman; both courses are designed to help you get up and running with Windows 10 IoT. Here, Michael explains how to build a simple, hardware breadboard setup to validate your development environment.",Course,2018-09-11 18:27 UTC,N/A,false,N/A,
PHP: Design Patterns,"Write better PHP code by following these popular (and time-tested) design patterns. Developer Keith Casey introduces 11 design patterns that will help you solve common coding challenges and make your intentions clear to future architects of your application. Keith explores use cases for:<br><br><ul>

<li>Accessing data with the active record and table data gateway patterns</li>
<li>Creating objects with the factory, singleton, and mock objects patterns</li>
<li>Extending code with decorator and adapter patterns</li>
<li>Structuring applications with MVC and Action-Domain-Responder patterns</li></ul><br><br>

Each chapter features a design pattern in a real-world coding scenario, and closes with a practice challenge to test your new skills.",Course,2017-12-19 16:02 UTC,N/A,false,N/A,
Ajax with PHP: Add Dynamic Content to Websites,"Add dynamic, asynchronously loading content to websites to make them more modern, professional, and user friendly with Ajax and PHP. Learn how to use Ajax to send and receive data in the background and how to use PHP to assemble and return text, HTML, or JSON responses. Kevin Skoglund walks viewers through sample projects for the most common Ajax use cases: buttons to allow users to mark or favorite items, forms that validate and submit data in the background, infinite scrolling of paginated content, and autosuggestions beneath a text field.",Course,2017-04-09 18:06 UTC,N/A,false,N/A,
Como Influenciar as Pessoas,"Já teve problemas para convencer alguém a fazer algo, mesmo pensando no melhor para a pessoa? Às vezes as pessoas não cedem, mas felizmente existem outras ferramentas à disposição além de recompensas e punições. Junte-se a John Ullmen, PhD, que vai lhe explicar como influenciar as pessoas em momentos decisivos aplicando 18 métodos cientificamente comprovados. Seja para influenciar no trabalho ou em casa, você vai aprender o que as pessoas mais influentes fazem antes de exercer influência. Saiba como escolher os melhores passos em cada situação e como fazer para que as pessoas queiram ser influenciadas por você.",Course,2019-08-02 11:44 UTC,N/A,false,N/A,
